;"Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada";"Saldo do Mês Anterior";"Movimento";"Movimento";"Saldo Atual"
;"Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada";"Saldo do Mês Anterior";"Débito";"Crédito";"Saldo Atual"
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"007398";699842,61;0;0;699842,61
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"007627";4708,83;0;0;4708,83
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"007882";23412,2;0;0;23412,2
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"007919";301819,06;0;0;301819,06
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"007960";26567,32;0;0;26567,32
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"007961";41225,9;0;0;41225,9
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"160045";62967,5;0;0;62967,5
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"160054";640,78;0;0;640,78
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"160230";68643,26;0;0;68643,26
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"200001";11802,62;0;0;11802,62
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"200008";1010831,58;0;0;1010831,58
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"200044";14841,79;0;0;14841,79
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"200056";5678,25;0;0;5678,25
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"210080";153038,2;0;0;153038,2
